date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:08	32990/32990	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2009:46:44%20GMT	http://netgon.ru/themeforest/royalspa_html/room-list.html	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/room-list.html	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:08	27311/27311	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2009:46:22%20GMT	http://netgon.ru/themeforest/royalspa_html/room-details.html	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/room-details.html	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:09	23612/23612	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2009:45:58%20GMT	http://netgon.ru/themeforest/royalspa_html/about.html	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/about.html	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:09	21733/21733	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2009:45:58%20GMT	http://netgon.ru/themeforest/royalspa_html/contacts.html	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/contacts.html	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:10	4344/4344	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/logo.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/logo.svg	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:11	4276/4276	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/decor.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/decor.svg	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:11	5252/5252	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/icons/hot-stone-massage.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/icons/hot-stone-massage.svg	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:12	3486/3486	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/icons/relax.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/icons/relax.svg	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:12	1148/1148	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/icons/tool.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/icons/tool.svg	(from http://netgon.ru/themeforest/royalspa_html/)
19:21:13	1572/1572	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2007:04:48%20GMT	http://netgon.ru/themeforest/royalspa_html/assets/img/icons/bottle.svg	D:/HTTrack/spa/netgon.ru/themeforest/royalspa_html/assets/img/icons/bottle.svg	(from http://netgon.ru/themeforest/royalspa_html/)
